% Model:              oppgave4.mph
% Version:            COMSOL 6.2.0.278
% Date:               Apr 18 2024, 11:52
% Dimension:          1
% Nodes:              669
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, z-component
1086.5963681650596        1.1684039984613708E-4
1088.5515507538025        1.1426506320759663E-4
1091.733603968239         1.1007371132255674E-4
1094.7258022737672        1.0613243342331008E-4
1094.740943837708         1.0611248918658949E-4
1096.0868266118637        1.043397129561646E-4
1097.1720875252092        1.0291022385954195E-4
1101.9981934496725        9.655335085938986E-5
1104.1577880647976        9.370876582229462E-5
1105.577285058668         9.18390260661921E-5
1108.4996795106374        8.798969273652945E-5
1112.7024176435266        8.245391026887779E-5
1113.5897738558283        8.128509822127918E-5
1114.3152359386454        8.032953064794477E-5
1115.067743505472         7.933833917621964E-5
1116.0009633046557        7.810911631259254E-5
1120.5030782065505        7.217899933808369E-5
1123.0217596468594        6.886143062026372E-5
1124.5582019522765        6.683765228624716E-5
1128.140113134621         6.211961359410573E-5
1131.4583843520818        5.887421804270411E-5
1132.9441973561402        5.850339638459191E-5
1134.2268505289057        5.74139845846564E-5
1134.2268505289057        5.73513795273406E-5
1135.95835146415          5.516404084187989E-5
1139.0127961091032        5.177671931957145E-5
1139.9528303721545        5.087771248530526E-5
1142.424501595827         4.851391638820593E-5
1144.2633945446842        4.675528120490918E-5
1144.48637737451          4.654203037372497E-5
1145.424053252779         4.5645278993457224E-5
1146.2596392643802        4.484616180744285E-5
1147.0803193443446        4.4061299989492595E-5
1148.1095032517574        4.3077034412323774E-5
1151.835310396455         3.9513838667342956E-5
1152.5664481566064        3.881461112958038E-5
1155.996903797417         3.553387638729006E-5
1157.3760735090596        3.4214899999817525E-5
1157.5097677373537        3.4087040803975176E-5
1158.2465675401309        3.338239834122867E-5
1158.8732570488316        3.27830604517179E-5
1159.5333506016           3.2151776424615286E-5
1160.2606550393646        3.14562149053787E-5
1164.657824683807         2.7126968288569623E-5
1164.657824683807         2.7250958015114404E-5
1165.2570607938846        2.6418745891766348E-5
1165.2570607938846        2.6619820284777115E-5
1171.2818988333909        2.16887879572045E-5
1171.8157650978253        2.1269676825901157E-5
1171.9485185717888        2.1165450971441476E-5
1172.2103328220912        2.096553610311352E-5
1172.5896530472276        2.0668105032196163E-5
1172.9157585104986        2.0412411036354493E-5
1178.9650421929762        1.5669265977580935E-5
1179.1074029637002        1.5560701022601727E-5
1179.1612588730359        1.5519630267346504E-5
1185.6459334092783        1.0441533076222811E-5
1185.9124817004454        1.0232808833789062E-5
1185.9791275874081        1.018061684096512E-5
1186.1098428347796        1.0081051540576092E-5
1186.2995790762457        9.932652592432602E-6
1186.478945341994         9.79237012622526E-6
1192.9907788333562        4.699461167629586E-6
1193.0409477415665        4.661296356077051E-6
1193.056088586797         4.649778315809119E-6
1200                      -7.741807318963707E-7
